id;id_prioridad;nombre;descripcion;indiceMortalidad
1;2;"Nefropatía crónica";"La enfermedad renal crónica, también llamada insuficiencia renal crónica, describe la pérdida gradual de la función renal.";30
2;2;"Diabetes tipo 1";"La diabetes tipo 1 es un trastorno crónico en el cual el páncreas produce muy poca insulina o directamente no la produce.";15
3;3;Cataratas;"Una catarata es una opacidad de la transparencia normal del cristalino del ojo.";1
4;2;Neumonia;"La neumonía es una infección que inflama los sacos aéreos de uno o ambos pulmones.";15
5;2;"Retinopatia diabetica";"La retinopatía diabética es una complicación de la diabetes que afecta los ojos. Es causada por el daño a los vasos sanguíneos.";20
6;1;"Diabetes tipo 2";"La diabetes de tipo 2 es un trastorno crónico que afecta la manera en la cual el cuerpo metaboliza el azúcar.";40
7;3;"Asma bronquial";"El asma es una afección en la que se estrechan y se hinchan las vías respiratorias, lo cual produce mayor mucosidad.";8
8;2;Colera;"El cólera es una enfermedad bacteriana que, por lo general, se propaga a través del agua contaminada.";30
9;1;Leucemia;"La leucemia es el cáncer de los tejidos que forman la sangre en el organismo, incluso la médula ósea y el sistema linfático.";51
10;3;Artritis;"La artritis es la hinchazón y la sensibilidad de una o más de las articulaciones.";1
11;3;Parkinson;"La enfermedad de Parkinson es una enfermedad progresiva del sistema nervioso que afecta el movimiento.";1
12;1;Linfoma;"El linfoma es un tipo de cáncer del sistema linfático, que es parte de la red del organismo que combate los gérmenes.";75
13;1;"Fiebre amarilla";"La fiebre amarilla es una infección viral que transmite un tipo particular de mosquito, frecuente en Africa y Sudamerica.";50
14;1;"Fibrosis pulmonar";"La fibrosis pulmonar es una enfermedad pulmonar que se produce cuando el tejido pulmonar se daña y se producen cicatrices.";45
15;3;Migraña;"La migraña puede causar un dolor pulsátil intenso o una sensación de latido en la cabeza, generalmente de un solo lado.";2
16;3;Mononucleosis;"El virus que causa la mononucleosis se transmite por la saliva.";3
17;2;Zika;"La enfermedad por el virus del Zika es una infección viral transmitida por los mosquitos.";15
18;3;"Hepatitis A";"La hepatitis A es una infección del hígado sumamente contagiosa causada por el virus de la hepatitis A.";5
19;2;"Hepatitis B";"La hepatitis B es una infección hepática grave causada por el virus VHB.";22
20;2;"Hepatitis C";"La hepatitis C es una infección vírica que causa inflamación del hígado, lo que a veces conduce a un daño hepático grave.";30
21;3;Conjuntivitis;"La conjuntivitis es una inflamación o una infección en la membrana transparente que recubre el párpado y el globo ocular.";0
22;1;Bronquitis;"La bronquitis es una inflamación del revestimiento de los bronquios que llevan el aire hacia adentro y fuera de los pulmones.";40
23;3;Pancreatitis;"La pancreatitis es inflamación en el páncreas.";8
24;1;"Sindrome nefrotico";"El síndrome nefrótico es un trastorno renal que hace que el cuerpo excrete demasiadas proteínas en la orina.";5
25;3;"Sinusitis aguda";"La sinusitis aguda hace que los espacios dentro de la nariz (senos paranasales) se inflamen e hinchen.";5
26;3;Siringomielia;"La siringomielia es el desarrollo de un quiste lleno de líquido dentro de la médula espinal.";5
27;1;"Sindrome pulmonar por hantavirus";"El síndrome pulmonar por hantavirus es una enfermedad infecciosa caracterizada por síntomas similares a la influenza.";40
28;3;Tracoma;"El tracoma es una infección bacteriana que afecta los ojos. Se produce por la bacteria Chlamydia trachomatis.";0
29;2;Tuberculosis;"La bacteria suele atacar los pulmones, pero puede también dañar otras partes del cuerpo.";30
30;3;Ganglion;"Los quistes ganglionares son bultos no cancerosos ,con frecuencia se forman a lo largo de los tendones o de las articulaciones.";0
31;1;Gangrena;"La gangrena es la muerte de tejido corporal como consecuencia de la falta de irrigación sanguínea o de una infección bacteriana.";40
32;2;Gastritis;"La gastritis es un término general para un grupo de enfermedades con un punto en común: la inflamación del estómago.";20
33;3;Glaucoma;"El glaucoma es un grupo de afecciones oculares que dañan el nervio óptico, cuya salud es vital para tener una buena vista.";5
34;2;Vasculitis;"La vasculitis es la inflamación de los vasos sanguíneos. Provoca cambios en las paredes de los vasos sanguíneos.";30
35;1;VIH;"El síndrome de inmunodeficiencia adquirida es una afección crónica que puede poner en riesgo la vida. ";55
36;1;Rabia;"La rabia es un virus mortal que se propaga a las personas a través de la saliva de animales infectados.";99
37;3;Atelectasia;"La atelectasia es un colapso completo o parcial del pulmón entero o de una parte (lóbulo) del pulmón.";8
38;3;Diarrea;"La diarrea (deposiciones blandas, líquidas y posiblemente más frecuentes) es un problema común.";3
39;2;Disfagia;"Es la dificultad para tragar.";30
40;3;Tendinitis;"La tendinitis es la inflamación o la irritación de un tendón, las cuerdas fibrosas que unen el músculo al hueso.";1
41;1;SARS-COV2;"La enfermedad por coronavirus (COVID 19) es una ‎enfermedad infecciosa causada por un ‎coronavirus recientemente descubierto.";40
