id;estado;motivo;fechaHoraInicio;fechaHoraFin
1;0;"Conversación finalizada";"2020-08-05 20:08:00";"2020-08-05 20:14:25"
2;0;"Conversación finalizada";"2020-08-03 09:04:00";"2020-08-03 09:12:00"
3;0;"Conversación finalizada";"2020-07-14 11:06:00";"2020-07-14 11:11:00"
4;0;"Conversación finalizada";"2020-07-14 23:38:00";"2020-07-14 23:47:40"
5;0;"Conversación finalizada";"2020-07-29 06:59:00";"2020-07-29 07:07:54"
6;0;"Conversación finalizada";"2020-07-30 14:26:00";"2020-07-30 14:36:25"
7;0;"Conversación finalizada";"2020-08-01 19:03:00";"2020-08-01 19:10:25"
8;0;"Conversación finalizada";"2020-08-01 17:18:00";"2020-08-01 17:28:30"
9;0;"Conversación finalizada";"2020-08-01 17:18:00";"2020-08-01 17:29:30"
10;0;"Conversación finalizada";"2020-08-02 13:13:00";"2020-08-02 13:19:36"
11;0;"Conversación finalizada";"2020-08-03 07:31:00";"2020-08-03 07:39:46"
12;0;"Conversación finalizada";"2020-08-04 16:09:00";"2020-08-04 16:21:30"
13;0;"Conversación finalizada";"2020-08-04 06:01:00";"2020-08-04 06:12:32"
14;0;"Conversación finalizada";"2020-08-05 21:13:00";"2020-08-05 21:22:30"
15;0;"Conversación finalizada";"2020-04-24 18:04:00";"2020-04-24 18:11:50"
